timestamp,Infrared to Red Signal Ratio
03/24/21 01:18:01,0
03/24/21 01:19:01,39
03/24/21 01:20:01,29
03/24/21 01:21:02,0
03/24/21 01:22:02,31
03/24/21 01:23:02,-4
03/24/21 01:24:02,0
03/24/21 01:25:02,0
03/24/21 01:26:02,0
03/24/21 01:27:02,25
03/24/21 01:28:03,-13
03/24/21 01:29:03,0
03/24/21 01:30:03,0
03/24/21 01:31:03,0
03/24/21 01:32:03,48
03/24/21 01:33:03,0
03/24/21 01:34:04,52
03/24/21 01:35:04,5
03/24/21 01:36:04,0
03/24/21 01:37:04,-47
03/24/21 01:38:04,0
03/24/21 01:39:04,-31
03/24/21 01:40:04,-19
03/24/21 01:41:05,0
03/24/21 01:42:05,10
03/24/21 01:43:05,0
03/24/21 01:44:05,-15
03/24/21 01:45:05,0
03/24/21 01:46:05,30
03/24/21 01:47:06,0
03/24/21 01:48:06,6
03/24/21 01:49:06,20
03/24/21 01:50:06,18
03/24/21 01:51:06,25
03/24/21 01:52:06,9
03/24/21 01:53:06,8
03/24/21 01:54:07,25
03/24/21 01:55:07,30
03/24/21 01:56:07,2
03/24/21 01:57:07,78
03/24/21 01:58:07,26
03/24/21 01:59:07,-4
03/24/21 02:00:07,14
03/24/21 02:01:08,10
03/24/21 02:02:08,0
03/24/21 02:03:08,31
03/24/21 02:04:08,51
03/24/21 02:05:08,37
03/24/21 02:06:08,0
03/24/21 02:07:09,-15
03/24/21 02:08:09,-66
03/24/21 02:09:09,-13
03/24/21 02:10:09,0
03/24/21 02:11:09,-26
03/24/21 02:12:09,-1
03/24/21 02:13:09,0
03/24/21 02:14:10,-12
03/24/21 02:15:10,-4
03/24/21 02:16:10,-4
03/24/21 02:17:10,31
03/24/21 02:18:10,5
03/24/21 02:19:10,51
03/24/21 02:20:10,28
03/24/21 02:21:11,-4
03/24/21 02:22:11,32
03/24/21 02:23:11,54
03/24/21 02:24:11,2
03/24/21 02:25:11,1
03/24/21 02:26:11,0
03/24/21 02:27:12,0
03/24/21 02:28:12,-13
03/24/21 02:29:12,26
03/24/21 02:30:12,-11
03/24/21 02:31:12,0
03/24/21 02:32:12,-20
03/24/21 02:33:12,0
03/24/21 02:34:13,1
03/24/21 02:35:13,5
03/24/21 02:36:13,21
03/24/21 02:37:13,-2
03/24/21 02:38:13,-1
03/24/21 02:39:13,17
03/24/21 02:40:13,0
03/24/21 02:41:14,-4
03/24/21 02:42:14,0
03/24/21 02:43:14,0
03/24/21 02:44:14,0
03/24/21 02:45:14,-33
03/24/21 02:46:14,-2
03/24/21 02:47:15,23
03/24/21 02:48:15,28
03/24/21 02:49:15,45
03/24/21 02:50:15,46
03/24/21 02:51:15,15
03/24/21 02:52:15,49
03/24/21 02:53:15,0
03/24/21 02:54:16,19
03/24/21 02:55:16,47
03/24/21 02:56:16,32
03/24/21 02:57:16,0
03/24/21 02:58:16,21
03/24/21 02:59:16,13
03/24/21 03:00:16,15
03/24/21 03:01:17,-3
03/24/21 03:02:17,2
03/24/21 03:03:17,0
03/24/21 03:04:17,13
03/24/21 03:05:17,29
03/24/21 03:06:17,0
03/24/21 03:07:18,0
03/24/21 03:08:18,40
03/24/21 03:09:18,20
03/24/21 03:10:18,2
03/24/21 03:11:18,4
03/24/21 03:12:18,9
03/24/21 03:13:18,31
03/24/21 03:14:19,78
03/24/21 03:15:19,55
03/24/21 03:16:19,50
03/24/21 03:17:19,42
03/24/21 03:18:19,6
03/24/21 03:19:19,32
03/24/21 03:20:19,13
03/24/21 03:21:20,34
03/24/21 03:22:20,34
03/24/21 03:23:20,34
03/24/21 03:24:20,11
